"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
0223,교대,S1102,서울 도시철도 2호선,Seoul Nat`l Univ. of Education,敎大,환승역,S1103,서울 도시철도 3호선,37.49320061,127.0142237,서울교통공사,서울특별시 서초구 서초대로 지하 294 (서초동),02-6110-2231,2021-04-09
0224,서초,S1102,서울 도시철도 2호선,Seocho,瑞草,일반역,,,37.49178284,127.0075972,서울교통공사,서울특별시 서초구 서초대로 지하 233 (서초동),02-6110-2241,2021-04-09
0225,방배,S1102,서울 도시철도 2호선,Bangbae,方背,일반역,,,37.48130245,126.997636,서울교통공사,서울특별시 서초구 방배로 지하 80 (방배동),02-6110-2251,2021-04-09
0226,사당,S1102,서울 도시철도 2호선,Sadang,舍堂,환승역,S1104,서울 도시철도 4호선,37.4767992,126.9816245,서울교통공사,서울특별시 동작구 남부순환로 지하 2089 (사당동),02-6110-2261,2021-04-09
0227,낙성대,S1102,서울 도시철도 2호선,Nakseongdae,落星垈,일반역,,,37.47692607,126.9636002,서울교통공사,서울특별시 관악구 남부순환로 지하 1928 (봉천동),02-6110-2271,2021-04-09
0228,서울대입구,S1102,서울 도시철도 2호선,Seoul Nat`l Univ.,首爾大入口,일반역,,,37.48103059,126.9526269,서울교통공사,서울특별시 관악구 남부순환로 지하 1822 (봉천동),02-6110-2281,2021-04-09
0229,봉천,S1102,서울 도시철도 2호선,Bongcheon,奉天,일반역,,,37.48245978,126.9418478,서울교통공사,서울특별시 관악구 남부순환로 지하 1721 (봉천동),02-6110-2291,2021-04-09
0230,신림,S1102,서울 도시철도 2호선,Sillim,新林,일반역,,,37.48420085,126.9295937,서울교통공사,서울특별시 관악구 남부순환로 지하 1614 (신림동),02-6110-2301,2021-04-09
0231,신대방,S1102,서울 도시철도 2호선,Sindaebang,新大方,일반역,,,37.48741288,126.9135942,서울교통공사,서울특별시 동작구 대림로 2 (신대방동),02-6110-2311,2021-04-09
0232,구로디지털단지,S1102,서울 도시철도 2호선,Guro Digital Complex,九老數碼團地,일반역,,,37.48516215,126.9014847,서울교통공사,서울특별시 구로구 도림천로 477 (구로동),02-6110-2321,2021-04-09
0233,대림,S1102,서울 도시철도 2호선,Daerim,大林,일반역,,,37.49307207,126.8957105,서울교통공사,서울 구로구 구로6동 125-66,02-6110-2331,2021-04-09
0234,신도림,S1102,서울 도시철도 2호선,Sindorim,新道林,환승역,S1101,서울 도시철도 1호선,37.50874994,126.8912511,서울교통공사,서울특별시 구로구 새말로 지하 117-21 (신도림동),02-6110-2341,2021-04-09
0235,문래,S1102,서울 도시철도 2호선,Mullae,文來,일반역,,,37.51779736,126.8945439,서울교통공사,서울특별시 영등포구 당산로 지하 28 (문래동3가),02-6110-2351,2021-04-09
0236,영등포구청,S1102,서울 도시철도 2호선,Yeongdeungpo-gu Office,永登浦區廳,환승역,S1105,서울 도시철도 5호선,37.52524847,126.8958333,서울교통공사,서울특별시 영등포구 당산로 지하 121 (당산동3가),02-6110-2361,2021-04-09
0237,당산,S1102,서울 도시철도 2호선,Dangsan,堂山,환승역,S1109,서울 도시철도 9호선,37.53425753,126.9024241,서울교통공사,서울특별시 영등포구 당산로 229 (당산동 6가),02-6110-2371,2021-04-09
0238,합정,S1102,서울 도시철도 2호선,Hapjeong,合井,환승역,S1106,서울 도시철도 6호선,37.54959888,126.9141239,서울교통공사,서울특별시 마포구 양화로 지하 55 (서교동),02-6110-2381,2021-04-09
0239,홍대입구,S1102,서울 도시철도 2호선,Hongik Univ.,弘大入口,환승역,I4107+I2801,경의중앙선+공항선,37.55701523,126.9249829,서울교통공사,서울특별시 마포구 양화로 지하160 (동교동),02-6110-2391,2021-04-09
0240,신촌,S1102,서울 도시철도 2호선,Sinchon,新村,일반역,,,37.555342,126.9368826,서울교통공사,서울특별시 마포구 신촌로 지하 90 (노고산동),02-6110-2401,2021-04-09
0241,이대,S1102,서울 도시철도 2호선,Ewha Womans Univ.,梨花女子大學,일반역,,,37.55672128,126.945801,서울교통공사,서울특별시 마포구 신촌로 지하 180 (염리동),02-6110-2411,2021-04-09
0242,아현,S1102,서울 도시철도 2호선,Ahyeon,阿峴,일반역,,,37.55721977,126.9561295,서울교통공사,서울특별시 마포구 신촌로 지하 270 (아현동),02-6110-2421,2021-04-09
0243,충정로,S1102,서울 도시철도 2호선,Chungjeongno,忠正路,환승역,S1105,서울 도시철도 5호선,37.56022847,126.9634503,서울교통공사,서울특별시 서대문구 서소문로 지하 17 (충정로3가),02-6110-2431,2021-04-09
0244,용답,S1102,서울 도시철도 2호선,Yongdap,龍踏,일반역,,,37.56183232,127.050871,서울교통공사,서울특별시 성동구 용답길 86 (용답동),02-6110-1341,2021-04-09
0245,신답,S1102,서울 도시철도 2호선,Sindap,新踏,일반역,,,37.56961893,127.0468598,서울교통공사,서울특별시 성동구 천호대로 232 (용답동),02-6110-1351,2021-04-09
0246,신설동,S1102,서울 도시철도 2호선,Sinseol-dong,新設洞,환승역,S1101,서울 도시철도 1호선+우의신설,37.57519632,127.0248584,서울교통공사,서울특별시 동대문구 왕산로 지하 1 (신설동),02-6110-1371,2021-04-09
0247,도림천,S1102,서울 도시철도 2호선,Dorimcheon,道林川,일반역,,,37.51420522,126.8827022,서울교통공사,서울특별시 구로구 경인로 67길 160 (신도림동),02-6110-2441,2021-04-09
0248,양천구청,S1102,서울 도시철도 2호선,Yangcheon-gu Office,陽川區廳,일반역,,,37.51205148,126.8656075,서울교통공사,서울특별시 양천구 목동로3길 지하 33(신정동),02-6110-2451,2021-04-09
0249,신정네거리,S1102,서울 도시철도 2호선,Sinjeongnegeori,新亭十字路口,일반역,,,37.51999688,126.8528986,서울교통공사,서울특별시 양천구 중앙로 지하 261 (신정동),02-6110-2461,2021-04-09
0250,용두,S1102,서울 도시철도 2호선,Yongdu,龍頭,일반역,,,37.57389197,127.0379098,서울교통공사,서울특별시 동대문구 천호대로 지하 129,02-6110-1361,2021-04-09
0309,지축,S1103,서울 도시철도 3호선,Jichuk,紙木丑,일반역,,,37.64793834,126.9137407,서울교통공사,경기도 고양시 덕양구 삼송로 300 (지축동),02-6110-3191,2021-04-09
0310,구파발,S1103,서울 도시철도 3호선,Gupabal,舊把撥,일반역,,,37.63664912,126.9187832,서울교통공사,서울특별시 은평구 진관2로 지하 15-25 (진관동),02-6110-3201,2021-04-09
0311,연신내,S1103,서울 도시철도 3호선,Yeonsinnae,延臣川,환승역,S1106,서울 도시철도 6호선,37.61881292,126.9208158,서울교통공사,서울특별시 은평구 통일로 지하 849 (갈현동),02-6110-3211,2021-04-09
0312,불광,S1103,서울 도시철도 3호선,Bulgwang,佛光,환승역,S1106,서울 도시철도 6호선,37.61013354,126.9296281,서울교통공사,"서울특별시 은평구 통일로 지하 723-1 (대조동, 3호선 불광역)",02-6110-3221,2021-04-09
0313,녹번,S1103,서울 도시철도 3호선,Nokbeon,碌磻,일반역,,,37.60085525,126.935753,서울교통공사,서울특별시 은평구 통일로 지하 602-1 (녹번동),02-6110-3231,2021-04-09
0314,홍제,S1103,서울 도시철도 3호선,Hongje,弘濟,일반역,,,37.58852355,126.944165,서울교통공사,서울특별시 서대문구 통일로 지하 440-1 (홍제동),02-6110-3241,2021-04-09
0315,무악재,S1103,서울 도시철도 3호선,Muakjae,毋岳齋,일반역,,,37.58211864,126.9501814,서울교통공사,서울특별시 서대문구 통일로 지하 361 (홍제동),02-6110-3251,2021-04-09
0316,독립문,S1103,서울 도시철도 3호선,Dongnimmun,獨立門,일반역,,,37.57448506,126.9578508,서울교통공사,서울특별시 서대문구 통일로 지하 247 (현저동),02-6110-3261,2021-04-09
0317,경복궁,S1103,서울 도시철도 3호선,Gyeongbokgung,景福宮,일반역,,,37.57560542,126.9734832,서울교통공사,서울특별시 종로구 사직로 지하 130 (적선동),02-6110-3271,2021-04-09
0318,안국,S1103,서울 도시철도 3호선,Anguk,安國,일반역,,,37.57666379,126.9854787,서울교통공사,서울특별시 종로구 율곡로 지하 62 (안국동),02-6110-3281,2021-04-09
0319,종로3가,S1103,서울 도시철도 3호선,Jongno 3(sam)-ga,鍾路3街,환승역,S1101+S1105,서울 도시철도 1호선+서울 도시철도 6호선,37.57139366,126.9914115,서울교통공사,서울특별시 종로구 종로 지하 129 (종로3가),02-6110-3291,2021-04-09
0320,을지로3가,S1103,서울 도시철도 3호선,Euljiro 3(sam)-ga,乙支路3街,환승역,S1102,서울 도시철도 2호선,37.56634826,126.991482,서울교통공사,서울특별시 중구 을지로 지하 106 (을지로3가),02-6110-3301,2021-04-09
0321,충무로,S1103,서울 도시철도 3호선,Chungmuro,忠武路,환승역,S1104,서울 도시철도 4호선,37.56140209,126.9943556,서울교통공사,서울특별시 중구 퇴계로 지하 199 (필동2가),02-6110-4231,2021-04-09
0322,동대입구,S1103,서울 도시철도 3호선,Dongguk Univ.,東大入口,일반역,,,37.55883276,127.0052813,서울교통공사,서울특별시 중구 동호로 지하 256 (장충동2가),02-6110-3321,2021-04-09
0323,약수,S1103,서울 도시철도 3호선,Yaksu,藥水,일반역,,,37.5544519,127.0104682,서울교통공사,서울특별시 중구 다산로 지하 122 (신당동),02-6110-3331,2021-04-09
0324,금호,S1103,서울 도시철도 3호선,Geumho,金湖,일반역,,,37.54800401,127.0156615,서울교통공사,서울특별시 성동구 동호로 지하 104 (금호동4가),02-6110-3341,2021-04-09
0325,옥수,S1103,서울 도시철도 3호선,Oksu,玉水,환승역,I4107,경의중앙선,37.5414877,127.0177608,서울교통공사,서울특별시 성동구 동호로 21 (옥수동) 옥수역,02-6110-3351,2021-04-09
0326,압구정,S1103,서울 도시철도 3호선,Apgujeong,狎鷗亭,일반역,,,37.52668639,127.0283697,서울교통공사,서울특별시 강남구 압구정로 지하 172 (신사동),02-6110-3361,2021-04-09
0327,신사,S1103,서울 도시철도 3호선,Sinsa,新沙,일반역,,,37.51618776,127.020092,서울교통공사,서울특별시 강남구 도산대로 지하 102 (신사동),02-6110-3371,2021-04-09
0328,잠원,S1103,서울 도시철도 3호선,Jamwon,蠶院,일반역,,,37.51282982,127.0112442,서울교통공사,서울특별시 서초구 잠원로 4길 지하 46 (잠원동),02-6110-3381,2021-04-09
0329,고속터미널,S1103,서울 도시철도 3호선,Express Bus Terminal,高速巴士客運,환승역,S1107+S1109,서울 도시철도 7호선+서울 도시철도 9호선,37.50436623,127.0049403,서울교통공사,서울특별시 서초구 신반포로 지하 188 (반포동),02-6110-3391,2021-04-09
0330,교대,S1103,서울 도시철도 3호선,Seoul Nat`l Univ. of Education,敎大,환승역,S1103,서울 도시철도 3호선,37.49320061,127.0140237,서울교통공사,서울특별시 서초구 서초대로 지하 294 (서초동),02-6110-3401,2021-04-09
0331,남부터미널,S1103,서울 도시철도 3호선,Nambu Bus Terminal,南部巴士客運,일반역,,,37.48482472,127.0161898,서울교통공사,서울특별시 서초구 서초중앙로 지하 31 (서초동),02-6110-3411,2021-04-09
0332,양재,S1103,서울 도시철도 3호선,Yangjae,良才,환승역,I1102,신분당선,37.48381174,127.0345768,서울교통공사,서울특별시 서초구 남부순환로 지하 2585 (서초동),02-6110-3421,2021-04-09
0333,매봉,S1103,서울 도시철도 3호선,Maebong,梅峰,일반역,,,37.48684644,127.0467037,서울교통공사,서울특별시 강남구 남부순환로 지하 2744 (도곡동),02-6110-3431,2021-04-09
0334,도곡,S1103,서울 도시철도 3호선,Dogok,道谷,환승역,I4105,분당선,37.49082524,127.0553484,서울교통공사,서울특별시 강남구 남부순환로 지하 2814 (도곡동),02-6110-3441,2021-04-09
0335,대치,S1103,서울 도시철도 3호선,Daechi,大峙,일반역,,,37.4942795,127.0632665,서울교통공사,서울특별시 강남구 남부순환로 지하 2952 (대치동),02-6110-3451,2021-04-09
0336,학여울,S1103,서울 도시철도 3호선,Hangnyeoul,Hangnyeoul,일반역,,,37.49655351,127.0713676,서울교통공사,서울특별시 강남구 남부순환로 지하 3104 (대치동),02-6110-3461,2021-04-09
0337,대청,S1103,서울 도시철도 3호선,Daecheong,大廳,일반역,,,37.49346096,127.079515,서울교통공사,서울특별시 강남구 일원로 지하 2 (일원동),02-6110-3471,2021-04-09
0338,일원,S1103,서울 도시철도 3호선,Irwon,逸院,일반역,,,37.48382242,127.0843143,서울교통공사,서울특별시 강남구 일원로 지하 121 (일원동),02-6110-3481,2021-04-09
0339,수서,S1103,서울 도시철도 3호선,Suseo,水西,환승역,I4105,분당선,37.48716257,127.101553,서울교통공사,서울특별시 강남구 광평로 지하 270 (수서동),02-6110-3491,2021-04-09
0340,가락시장,S1103,서울 도시철도 3호선,Garak Market,可樂市場,환승역,S1108,서울 도시철도 8호선,37.49276539,127.1178996,서울교통공사,서울특별시 송파구 송파대로 지하 257 (가락동),02-6311-8171,2021-04-09
0341,경찰병원,S1103,서울 도시철도 3호선,National Police Hospital,警察病院,일반역,,,37.49576539,127.1242996,서울교통공사,서울특별시 송파구 중대로 지하 149 (가락동),02-6110-3511,2021-04-09
0342,오금,S1103,서울 도시철도 3호선,Ogeum,梧琴,환승역,S1105,서울 도시철도 5호선,37.50216539,127.1278996,서울교통공사,서울특별시 송파구 오금로 지하 321 (오금동),02-6110-3521,2021-04-09
0409,당고개,S1104,서울 도시철도 4호선,Danggogae,堂嶺,일반역,,,37.67032572,127.0789555,서울교통공사,서울특별시 노원구 상계로 305 (상계동),02-6110-4091,2021-04-09
0410,상계,S1104,서울 도시철도 4호선,Sanggye,上溪,일반역,,,37.66090497,127.0731287,서울교통공사,서울특별시 노원구 상계로 182 (상계동),02-6110-4101,2021-04-09
0411,노원,S1104,서울 도시철도 4호선,Nowon,蘆原,환승역,S1107,서울 도시철도 7호선,37.6551493,127.0624948,서울교통공사,서울특별시 노원구 상계로 69-1 (상계동),02-6110-4111,2021-04-09
0412,창동,S1104,서울 도시철도 4호선,Chang-dong,倉洞,환승역,S1101,서울 도시철도 1호선,37.65312232,127.0476886,서울교통공사,서울특별시 도봉구 마들로 11길 77 (창동),02-6110-4121,2021-04-09
0413,쌍문,S1104,서울 도시철도 4호선,Ssangmun,雙門,일반역,,,37.64853159,127.0345002,서울교통공사,서울특별시 도봉구 도봉로 지하 486-1 (창동),02-6110-4131,2021-04-09
0414,수유,S1104,서울 도시철도 4호선,Suyu,水逾,일반역,,,37.63796529,127.0254433,서울교통공사,서울특별시 강북구 도봉로 지하 50 (미아동),02-6110-4141,2021-04-09
0415,미아,S1104,서울 도시철도 4호선,Mia,彌阿,일반역,,,37.62657144,127.0258287,서울교통공사,서울특별시 강북구 도봉로 지하 198 (미아동),02-6110-4151,2021-04-09
0416,미아사거리,S1104,서울 도시철도 4호선,Miasamgeori,彌阿十字路口,일반역,,,37.61325241,127.0298981,서울교통공사,서울특별시 강북구 도봉로 지하 50 (미아동),02-6110-4161,2021-04-09
0417,길음,S1104,서울 도시철도 4호선,Gireum,吉音,일반역,,,37.6035085,127.0249611,서울교통공사,서울특별시 성북구 동소문로 지하 248 (길음동),02-6110-4171,2021-04-09
0418,성신여대입구,S1104,서울 도시철도 4호선,Sungshin Women`s Univ.,誠信女大入口,환승역,,우이신설,37.5927377,127.0163071,서울교통공사,서울특별시 성북구 동소문로 지하 102 (동선동4가),02-6110-4181,2021-04-09
0419,한성대입구,S1104,서울 도시철도 4호선,Hansung Univ.,漢城大入口,일반역,,,37.58838493,127.0059994,서울교통공사,서울특별시 성북구 삼선교로 지하1 (삼선동1가),02-6110-4191,2021-04-09
0420,혜화,S1104,서울 도시철도 4호선,Hyehwa,惠化,일반역,,,37.58228892,127.0016857,서울교통공사,서울특별시 종로구 대학로 지하 120 (동숭동),02-6110-4201,2021-04-09
0421,동대문,S1104,서울 도시철도 4호선,Dongdaemun,東大門,환승역,S1101,서울 도시철도 1호선,37.57089132,127.0101189,서울교통공사,서울특별시 종로구 율곡로 308,02-6110-4211,2021-04-09
0422,동대문역사문화공원,S1104,서울 도시철도 4호선,Dongdaemun History & Culture Park,東大門歷史文化公園,환승역,S1102+S1105,서울 도시철도 2호선+서울 도시철도 5호선,37.56507829,127.0071679,서울교통공사,서울특별시 중구 장충단로 지하 230 (광희동 2가),02-6110-4221,2021-04-09
0423,충무로,S1104,서울 도시철도 4호선,Chungmuro,忠武路,환승역,S1103,서울 도시철도 3호선,37.56120209,126.9943556,서울교통공사,서울특별시 중구 퇴계로 지하 199 (필동2가),02-6110-4231,2021-04-09
0424,명동,S1104,서울 도시철도 4호선,Myeong-dong,明洞,일반역,,,37.56075073,126.9862482,서울교통공사,서울특별시 중구 퇴계로 지하 126 (충무로2가),02-6110-4241,2021-04-09
0425,회현,S1104,서울 도시철도 4호선,Hoehyeon,會賢,일반역,,,37.55851662,126.9781303,서울교통공사,서울특별시 중구 퇴계로 지하 54 (남창동),02-6110-4251,2021-04-09
0426,서울역,S1104,서울 도시철도 4호선,Seoul Station,首爾站,환승역,S1101+I2801,서울 도시철도 1호선+공항선,37.55356539,126.9724996,서울교통공사,서울특별시 용산구 한강대로 지하 392(동자동),02-6110-4261,2021-04-09
0427,숙대입구,S1104,서울 도시철도 4호선,Sookmyung Women`s Univ.,淑大入口,일반역,,,37.54467788,126.9719943,서울교통공사,서울특별시 용산구 한강대로 지하 306,02-6110-4271,2021-04-09
0428,삼각지,S1104,서울 도시철도 4호선,Samgakji,三角地,환승역,S1106,서울 도시철도 6호선,37.53475857,126.9734308,서울교통공사,서울특별시 용산구 한강대로 지하 180 (한강로1가),02-6110-4281,2021-04-09
0429,신용산,S1104,서울 도시철도 4호선,Sinyongsan,新龍山,일반역,,,37.5292129,126.9677003,서울교통공사,서울특별시 용산구 한강대로 지하 112 (한강로2가),02-6110-4291,2021-04-09
0430,이촌,S1104,서울 도시철도 4호선,Ichon,二村,환승역,I4107,경의중앙선,37.52234094,126.9741382,서울교통공사,서울특별시 용산구 용산동5가 17,02-6110-4301,2021-04-09
0431,동작,S1104,서울 도시철도 4호선,Dongjak,銅雀,환승역,S1109,서울 도시철도 9호선,37.50300413,126.9790224,서울교통공사,서울특별시 동작구 현충로 257 (동작동),02-6110-4311,2021-04-09
0432,총신대입구,S1104,서울 도시철도 4호선,Chongshin Univ.,總神大入口,환승역,S1107,서울 도시철도 7호선,37.48678247,126.981945,서울교통공사,서울특별시 동작구 동작대로 지하 117 (사당동),02-6110-4321,2021-04-09
0433,사당,S1104,서울 도시철도 4호선,Sadang,舍堂,환승역,S1102,서울 도시철도 2호선,37.4767992,126.9814245,서울교통공사,"서울특별시 동작구 동작대로 3(사당동,사당역(4호선))",02-6110-4331,2021-04-09
0434,남태령,S1104,서울 도시철도 4호선,Namtaeryeong,南泰嶺,일반역,,,37.46424858,126.9888363,서울교통공사,서울특별시 서초구 과천대로 지하 816 (방배동),02-6110-4341,2021-04-09
2511,방화,S1105,서울 도시철도 5호선,Banghwa,傍花,일반역,,,37.57729066,126.8127115,서울교통공사,서울특별시 강서구 금낭화로 지하132 (방화동),02-6311-5101,2021-04-09
2512,개화산,S1105,서울 도시철도 5호선,Gaehwasan,開花山,일반역,,,37.57231242,126.8062885,서울교통공사,서울특별시 강서구 양천로 22(방화동),02-6311-5111,2021-04-09
2513,김포공항,S1105,서울 도시철도 5호선,Gimpo Intl. Airport,金浦空港,환승역,S1109+I2801+I4103,서울 도시철도 1호선+공항선+김포골드라인,37.5622601,126.8014703,서울교통공사,서울특별시 강서구 하늘길 지하77 (방화동),02-6311-5121,2021-04-09
2514,송정,S1105,서울 도시철도 5호선,Songjeong,松亭,일반역,,,37.56115795,126.811792,서울교통공사,서울특별시 강서구 공항대로 지하33 (공항동),02-6311-5131,2021-04-09
2515,마곡,S1105,서울 도시철도 5호선,Magok,麻谷,일반역,,,37.56025035,126.8248665,서울교통공사,서울특별시 강서구 공항대로 지하163 (가양동),02-6311-5141,2021-04-09
2516,발산,S1105,서울 도시철도 5호선,Balsan,鉢山,일반역,,,37.55848385,126.837456,서울교통공사,서울특별시 강서구 공항대로 지하267 (가양동),02-6311-5151,2021-04-09
2517,우장산,S1105,서울 도시철도 5호선,Ujangsan,雨裝山,일반역,,,37.54886035,126.8363531,서울교통공사,서울특별시 강서구 강서로 지하262 (화곡동),02-6311-5161,2021-04-09
